1	我看过许多勇敢的人，不怕措折地奋斗，这种精神值得我们学习。	我看过许多勇敢的人，不怕挫折地奋斗，这种精神值得我们学习。
1	这也使我连想到了人类的环境的破坏，一天一天地恶化，却又有多少人愿意出手帮忙？	这也使我联想到了人类的环境的破坏，一天一天地恶化，却又有多少人愿意出手帮忙？
1	想想，从小学到国中己经换了不少的教室，每个教室都会让人称赞或是嫌弃。	想想，从小学到国中已经换了不少的教室，每个教室都会让人称赞或是嫌弃。
1	换教室的时候，会有一点舍不得，在那教室一年里充满一点一滴的所有回亿也因此要分开了。	换教室的时候，会有一点舍不得，在那教室一年里充满一点一滴的所有回忆也因此要分开了。
1	不管是好的还是坏的，总是会想起一些回亿。	不管是好的还是坏的，总是会想起一些回忆。
1	就只有做错事的时候被老师骂，觉的很不开心，小时候还会讨厌骂我的老师。	就只有做错事的时候被老师骂，觉得很不开心，小时候还会讨厌骂我的老师。
1	有时还会玩扫具被老师罚站，想起来感觉很幼智，可是真的很好玩。	有时还会玩扫具被老师罚站，想起来感觉很幼稚，可是真的很好玩。
1	下课也可以聊天、打球等，都过的很快乐，可是我很讨厌考试，所以就只有考试是让我不开心。	下课也可以聊天、打球等，都过得很快乐，可是我很讨厌考试，所以就只有考试是让我不开心。
1	我觉得在教室里只要人员好每天都能过得很开心，可是功课压力不要太大就好了。	我觉得在教室里只要人缘好每天都能过得很开心，可是功课压力不要太大就好了。
1	在教室会发生许多好玩的，令你惊奇的事，教室的每一个第方都有他独特的一面呢！	在教室会发生许多好玩的，令你惊奇的事，教室的每一个地方都有他独特的一面呢！
1	在来就是黑板了吧！每天看着老师上课，不知不觉中我对黑板感到像是亲人一般的感情。	再来就是黑板了吧！每天看着老师上课，不知不觉中我对黑板感到像是亲人一般的感情。
1	原本一男一女交叉排列的整齐教室全变了样，男女各分东西成了午餐时间理所当然的景像。	原本一男一女交叉排列的整齐教室全变了样，男女各分东西成了午餐时间理所当然的景象。
1	牠们协力推着、拉着、搬着，一大群蚂蚁行成了一条路，慢慢地将食物送往心爱的窝。	牠们协力推着、拉着、搬着，一大群蚂蚁形成了一条路，慢慢地将食物送往心爱的窝。
1	而牠们的群体出现，只是为了一块，对我们人类来说，微不足蹈的小碎屑！ 	而牠们的群体出现，只是为了一块，对我们人类来说，微不足道的小碎屑！ 
1	在这里，我们经历了老师的教导，同学的嘻笑怒骂等等，多不胜数。	在这里，我们经历了老师的教导，同学的嬉笑怒骂等等，多不胜数。
1	看到黑板，总会让我想到每位辛苦的老师，他们的身影便会出现在我的恼海中。	看到黑板，总会让我想到每位辛苦的老师，他们的身影便会出现在我的脑海中。
1	老师对我们的谆谆教诲，就是希望我们将来在社会上能出人投地，并且有份好工作！ 	老师对我们的谆谆教诲，就是希望我们将来在社会上能出人头地，并且有份好工作！ 
1	教室对我们而言，大慨是充满回忆的地方吧！	教室对我们而言，大概是充满回忆的地方吧！
1	他不会去记仇，我们要学习他的不记深仇和像君子一般正值的心。	他不会去记仇，我们要学习他的不记深仇和像君子一般正直的心。
1	时常下课时我会走到教室后面的怖告栏看看，那里贴的东西都很令我感兴趣。	时常下课时我会走到教室后面的佈告栏看看，那里贴的东西都很令我感兴趣。
1	在教室的怖告栏上所贴的文章都非常有趣，文章中的内容使我增广见闻。	在教室的佈告栏上所贴的文章都非常有趣，文章中的内容使我增广见闻。
1	这佈告栏，一路下来，它始终在教室的后方任我们怖置，虽然它是一个佈告栏，但它却像有生命一样地让我们使用。	这佈告栏，一路下来，它始终在教室的后方任我们佈置，虽然它是一个佈告栏，但它却像有生命一样地让我们使用。
1	电视上，看到非洲的人民因食物匮乏没东西吃，受病魔的折磨，最后因支撑不住生亡。	电视上，看到非洲的人民因食物匮乏没东西吃，受病魔的折磨，最后因支撑不住身亡。
1	修女撞见并没嫌妇女恶心，而是把她抱到医院给医生治潦，后来因急救不治，身亡了。	修女撞见并没嫌妇女恶心，而是把她抱到医院给医生治疗，后来因急救不治，身亡了。
1	这就是我们常说的：「进朱者赤」。自己的方向有时也会因为週遭而偏移。	这就是我们常说的：「近朱者赤」。自己的方向有时也会因为週遭而偏移。
0	有些动物很可怜，不是被人们凌虐，便是因为生病的关系，每次看到牠们那害怕的表情，让我觉得很可怜。	有些动物很可怜，不是被人们凌虐，便是因为生病的关系，每次看到牠们那害怕的表情，让我觉得很可怜。
1	我们的导师说：「遇到困难，不能轻意半途而废。」兽医是我人生的方向，也可能是我未来的工作。	我们的导师说：「遇到困难，不能轻易半途而废。」兽医是我人生的方向，也可能是我未来的工作。
1	鸟的方向，由季节决定；向日癸的方向，由太阳决定；而我的方向，要由我自己决定。	鸟的方向，由季节决定；向日葵的方向，由太阳决定；而我的方向，要由我自己决定。
1	国小同班的一个同学，上了国中后开始变坏，才开学不久就被计警告。我很惊讶！我的好朋友说：「他好像是被坏学生影响。」	国小同班的一个同学，上了国中后开始变坏，才开学不久就被记警告。我很惊讶！我的好朋友说：「他好像是被坏学生影响。」
1	他因为一个念头，走上了一条不该走的路，在也回不到最原始、美好的那条路上。	他因为一个念头，走上了一条不该走的路，再也回不到最原始、美好的那条路上。
1	因此我们必须从现在开始培养好自己的价值观，才不会走向不好的方向，而当我们察觉到时，也可能已危时已晚了。	因此我们必须从现在开始培养好自己的价值观，才不会走向不好的方向，而当我们察觉到时，也可能已为时已晚了。
1	在「左贺的超级阿嬷」一片中，阿嬷家境清寒，甚至三餐不继，但她总能微笑面对。	在「佐贺的超级阿嬷」一片中，阿嬷家境清寒，甚至三餐不继，但她总能微笑面对。
1	在人生的道路上，我朝着这样的方向前进，绝不会犹欲或退缩。	在人生的道路上，我朝着这样的方向前进，绝不会犹豫或退缩。
2	我总是排回在一条叉路，是左还是右，我在一番苦恼之中，有了答案，不如当个医生吧！	我总是徘徊在一条叉路，是左还是右，我在一番苦恼之中，有了答案，不如当个医生吧！
1	她说：「能看到学生快乐地成长，给了我机会，让我能如愿以赏地实现梦想。」我多希望我也能当个医生，拉他们一把。	她说：「能看到学生快乐地成长，给了我机会，让我能如愿以偿地实现梦想。」我多希望我也能当个医生，拉他们一把。
1	「傻孩子，要当医生就要努力啊！找握你的「方向」」那句方向特别大声，彷彿在告诉我要开始踏上「医生之道」了。	「傻孩子，要当医生就要努力啊！掌握你的「方向」」那句方向特别大声，彷彿在告诉我要开始踏上「医生之道」了。
1	母亲的谏言，我牢记在心，我的那张「白纸」的红字已经少了很多。我不再迷网，「做任何事都不要事后再后悔」。	母亲的谏言，我牢记在心，我的那张「白纸」的红字已经少了很多。我不再迷惘，「做任何事都不要事后再后悔」。
1	这句话是我人生的一个转泪点，相当重要，当时虽然还小，还过着有点懵懂无知的生活，不过这句话足以使我恍然大悟。	这句话是我人生的一个转捩点，相当重要，当时虽然还小，还过着有点懵懂无知的生活，不过这句话足以使我恍然大悟。
1	从婴儿时期一路到壮年时期，其中历经着无数的艰辛与挑战，但这一路不是说都有父母倍伴着。	从婴儿时期一路到壮年时期，其中历经着无数的艰辛与挑战，但这一路不是说都有父母陪伴着。
2	有时候选择人生方向也是一种运气，但见人见志，大家的目标不见得是一致的。	有时候选择人生方向也是一种运气，但见仁见智，大家的目标不见得是一致的。
1	当一只只会模彷、学别人的鹦鹉，只会人云亦云，只会附和别人，一点自己的主见都没有。	当一只只会模仿、学别人的鹦鹉，只会人云亦云，只会附和别人，一点自己的主见都没有。
1	交朋友，最重要的就是教学相长、互相扶持。而不是互相影响、互相沉伦、一起去做不对的事情。	交朋友，最重要的就是教学相长、互相扶持。而不是互相影响、互相沉沦、一起去做不对的事情。
1	年轻的时候，把握当下，告诉自己正确的方向，正确的道路在哪里，不要一时胡涂，而让自己悔不当初。	年轻的时候，把握当下，告诉自己正确的方向，正确的道路在哪里，不要一时煳涂，而让自己悔不当初。
1	方向，对我而言，是再熟不过递了，从已前到现在，每次在上足球课时，都一直提到这两个字。	方向，对我而言，是再熟不过递了，从以前到现在，每次在上足球课时，都一直提到这两个字。
1	我用迅雷不及奄耳的速度带球冲到球门前，「55度」这一个声音，突然出现在我脑海里，于是，我真的踢进了。	我用迅雷不及掩耳的速度带球冲到球门前，「55度」这一个声音，突然出现在我脑海里，于是，我真的踢进了。
1	他们要我踢102度，而我也真的踢中了。二连罢，我来了。	他们要我踢102度，而我也真的踢中了。二连霸，我来了。
1	方向和我们的生活息息相观，有时走错方向就完了。	方向和我们的生活息息相关，有时走错方向就完了。
1	当时我走错路真的就完了，努力全白废了。	当时我走错路真的就完了，努力全白费了。
1	要在六点前回家，我不可能来得急！跑到一半发现我走错路了，便继续走那条错路，结果还比之前走的路还快。	要在六点前回家，我不可能来得及！跑到一半发现我走错路了，便继续走那条错路，结果还比之前走的路还快。
1	想要把握机会，就要准备好，一有机会就朴身去抢，而不是像守株待兔般地等待机会。	想要把握机会，就要准备好，一有机会就扑身去抢，而不是像守株待兔般地等待机会。
1	要成为球员不单单只是苦练，从小就要养成诚实、正直的个兴。	要成为球员不单单只是苦练，从小就要养成诚实、正直的个性。
1	在人生中有千千万万种方向，只等你自己的选则，只要踏了第一步，就不能够再后退了！	在人生中有千千万万种方向，只等你自己的选择，只要踏了第一步，就不能够再后退了！
1	方向都是我自己一而在，再而三所挑选的，无人能阻止我的选择，虽然这条路只走了三分之一，但我不会后悔选择这条路。	方向都是我自己一而再，再而三所挑选的，无人能阻止我的选择，虽然这条路只走了三分之一，但我不会后悔选择这条路。
1	我常常觉得方向的选择要看的是兴趣，但如果只有兴趣而不努力，再怎么喜欢也是没办法答成人生的方向。	我常常觉得方向的选择要看的是兴趣，但如果只有兴趣而不努力，再怎么喜欢也是没办法达成人生的方向。
1	不要等方向走了，你才在后悔，或选择其他自己不善长的方向。	不要等方向走了，你才在后悔，或选择其他自己不擅长的方向。
1	每个人都有一些自已未来人生的方向，不管方向是什么，都是和努力、态度有很大的关系。	每个人都有一些自己未来人生的方向，不管方向是什么，都是和努力、态度有很大的关系。
1	把握自已未来的方向，我们可以以个人的兴趣等来选择未来的方向，并多去了解所想选择的方向，才不会对选择的方向后悔。	把握自己未来的方向，我们可以以个人的兴趣等来选择未来的方向，并多去了解所想选择的方向，才不会对选择的方向后悔。
1	自己的方向到了最后如果希望可以很成功，一分耕云一分收获，如果想要有好的收获，就要辛苦地耕云，不可能什么也没做就会有好的收获。	自己的方向到了最后如果希望可以很成功，一分耕耘一分收获，如果想要有好的收获，就要辛苦地耕云，不可能什么也没做就会有好的收获。
1	如果没有恆心，再努力也很有可能会白忘一场。	如果没有恆心，再努力也很有可能会白忙一场。
1	把握我们拥有的时光，真惜这宝贵的生命。	把握我们拥有的时光，珍惜这宝贵的生命。
1	我们的方向总是常常被别人的想法所更替，很少人有自己的主见，而且坚侍到底。	我们的方向总是常常被别人的想法所更替，很少人有自己的主见，而且坚持到底。
1	这么决定真的对自己或对大家好吗？毕尽好的方向不仅可以让人生充实且有意义，还能让自己与週遭的人皆受惠。	这么决定真的对自己或对大家好吗？毕竟好的方向不仅可以让人生充实且有意义，还能让自己与週遭的人皆受惠。
1	自己的心要朝哪个方向走，是自己来决定的，但是如果选错了，那将会后侮一辈子。	自己的心要朝哪个方向走，是自己来决定的，但是如果选错了，那将会后悔一辈子。
1	这就是我想要报达父母的养育之恩及教育之恩的办法。	这就是我想要报答父母的养育之恩及教育之恩的办法。
1	很多人不知道该如何选择方向，甚至在我们这个年纪很容易误入歧途，交到坏朋友，导置人生的方向变坏了。	很多人不知道该如何选择方向，甚至在我们这个年纪很容易误入歧途，交到坏朋友，导致人生的方向变坏了。
0	有一些人说当小职员，再慢慢升上去，这种说法我很赞同，因为如果没有先从基础做起，你要的人生方向就一定达不到。	有一些人说当小职员，再慢慢升上去，这种说法我很赞同，因为如果没有先从基础做起，你要的人生方向就一定达不到。
1	书本上的知识能丰富我们的人生，仪态能使我们端装，健康能使我们的生心理放松，快乐。	书本上的知识能丰富我们的人生，仪态能使我们端庄，健康能使我们的生心理放松，快乐。
1	在成功之前绝不要轻易放弃了原本的坚固毅志，要好好苦练，并努力学习。	在成功之前绝不要轻易放弃了原本的坚固意志，要好好苦练，并努力学习。
1	我要每天用功唸书，持之以恆，到老了才不会辽倒。	我要每天用功唸书，持之以恆，到老了才不会潦倒。
1	如果有两个人，梦想、兴趣、人生目标都相同；一个人选择顺着事情走，而另一个人想辨法让自己更好。	如果有两个人，梦想、兴趣、人生目标都相同；一个人选择顺着事情走，而另一个人想办法让自己更好。
1	这几年，我只有皮肤变黑碳，跳得比较高外，竟然没有长高。	这几年，我只有皮肤变黑炭，跳得比较高外，竟然没有长高。
1	因为我对很多东西都很有兴趣，像是电脑、服装、发形，我都很感兴趣。	因为我对很多东西都很有兴趣，像是电脑、服装、发型，我都很感兴趣。
1	因为你已经确定自己的目标，而且是你想要的，不会后悔。要有不屈不挠的精神，遇到挫折不可以轻易斿弃。	因为你已经确定自己的目标，而且是你想要的，不会后悔。要有不屈不挠的精神，遇到挫折不可以轻易放弃。
1	我不喜欢坐在木椅上拚命读书，那样子好累！感觉自己的脑细胞都变迟顿了。	我不喜欢坐在木椅上拚命读书，那样子好累！感觉自己的脑细胞都变迟钝了。
1	不要为了投机取巧而抄近路，宁愿遶一大圈也不要做偷鸡摸狗的事。	不要为了投机取巧而抄近路，宁愿绕一大圈也不要做偷鸡摸狗的事。
1	先决定好目标，才会有斗智，才会想努力。	先决定好目标，才会有斗志，才会想努力。
1	走到这一步而放松，这样只会造成反效果而已，因为，过度的放松，只会使你变懒，不管你走到了哪一个地步，都要勤愤不懈。	走到这一步而放松，这样只会造成反效果而已，因为，过度的放松，只会使你变懒，不管你走到了哪一个地步，都要勤奋不懈。
1	因为小时后还记得，我第一次来速食店时，全身有着莫名的紧张感，现在我已经长大了，我想要一个能带给大人小孩们欢乐、让他们消除烦恼的地方。	因为小时候还记得，我第一次来速食店时，全身有着莫名的紧张感，现在我已经长大了，我想要一个能带给大人小孩们欢乐、让他们消除烦恼的地方。
1	现代社会竞征力那么强，想轻松获胜简直难如登天，因此除了努力还是努力。	现代社会竞争力那么强，想轻松获胜简直难如登天，因此除了努力还是努力。
1	人可以决定要当失败者也可以决定要当胜力者，只是差别在于毅力、恆心和努力和找到方向。	人可以决定要当失败者也可以决定要当胜利者，只是差别在于毅力、恆心和努力和找到方向。
1	一个人非凡的毅志力帮未来的方向打好基础，而毅力、恆心、努力就是人的装备了，如果有了装备前往的却是错的方向，那是白费力气。	一个人非凡的意志力帮未来的方向打好基础，而毅力、恆心、努力就是人的装备了，如果有了装备前往的却是错的方向，那是白费力气。
1	我们要努力奠定知识的基础，使你要朝着的方向有助于一譬之力，会较顺利。	我们要努力奠定知识的基础，使你要朝着的方向有助于一臂之力，会较顺利。
1	像是最近发生的毒奶事件，三鹿公司的老板在做决定时，也就不能只想到自己，也要为其他人想一想。这样才能成为一个真正付责任的人。	像是最近发生的毒奶事件，三鹿公司的老板在做决定时，也就不能只想到自己，也要为其他人想一想。这样才能成为一个真正负责任的人。
1	如果贝多芬在他耳朵听不到任何音乐时，就放弃了音乐这条路的话，也许这篇文章中就不会出现他的名子了。	如果贝多芬在他耳朵听不到任何音乐时，就放弃了音乐这条路的话，也许这篇文章中就不会出现他的名字了。
1	每一个方向都有自己的优点，只是要看自己到底是想要什么方向而己。	每一个方向都有自己的优点，只是要看自己到底是想要什么方向而已。
1	我只要求自己当个正直、耿介的人，绝对不会走向不好的路，才不会造成后侮的人生。	我只要求自己当个正直、耿介的人，绝对不会走向不好的路，才不会造成后悔的人生。
1	一次比赛中，他终于有机会上场比赛，终于有机会大展身手，比赛中他创下了高分的嘉绩，一切就是因为他的努力不懈。	一次比赛中，他终于有机会上场比赛，终于有机会大展身手，比赛中他创下了高分的佳绩，一切就是因为他的努力不懈。
1	你要当哪一种人呢？筑梦踏实、追球梦想的人，还是要顺其自然，当个无名小卒就心满意足了。	你要当哪一种人呢？筑梦踏实、追求梦想的人，还是要顺其自然，当个无名小卒就心满意足了。
1	令我持续努力下去的动机有二，其一是能够使家人风光一世；使自己娇傲一世。	令我持续努力下去的动机有二，其一是能够使家人风光一世；使自己骄傲一世。
1	数学老师说：「临阵磨鎗，不亮也光。」那我努力、努力、再努力，岂不是考上第一志愿？	数学老师说：「临阵磨枪，不亮也光。」那我努力、努力、再努力，岂不是考上第一志愿？
1	我未来生活的方向就是成为一位杰出的刚琴家，刚起步时，我遇到许多挫折，但我不曾因此而自甘堕落，反而努力想方法解决。	我未来生活的方向就是成为一位杰出的钢琴家，刚起步时，我遇到许多挫折，但我不曾因此而自甘堕落，反而努力想方法解决。
1	「方向」对一个初入国中的七年级生，太过于遥不可及、不知所惜。	「方向」对一个初入国中的七年级生，太过于遥不可及、不知所措。
1	郑丰喜先生的传记，对当时盟懂的我所产生的深思，直到现在都还时时警惕我。	郑丰喜先生的传记，对当时懵懂的我所产生的深思，直到现在都还时时警惕我。
1	在家庭的耳濡慕染之下，我渐渐启发了对文学的热爱，向往着书中的世界。	在家庭的耳濡目染之下，我渐渐启发了对文学的热爱，向往着书中的世界。
1	我会选择向王永庆先生看齐，他的生活中虽充满着金钱但却仆实简单，他偶而也会贡献一己之力。	我会选择向王永庆先生看齐，他的生活中虽充满着金钱但却朴实简单，他偶而也会贡献一己之力。
1	从那天起我便下定了决心，自己也要像母亲一样，当一位侮人不倦的好老师。	从那天起我便下定了决心，自己也要像母亲一样，当一位诲人不倦的好老师。
1	「树叶的方向，由风来决定，人的方向，由自己来决定」，这到底是为了什么呢？难到不是由上天决定的吗？ 	「树叶的方向，由风来决定，人的方向，由自己来决定」，这到底是为了什么呢？难道不是由上天决定的吗？ 
1	有人常常会把自己的过错推给像是上天、老天爷，做一些不负责认的事情，这样好吗？ 	有人常常会把自己的过错推给像是上天、老天爷，做一些不负责任的事情，这样好吗？ 
1	要是当出就好好读书，选择自己的方向，现在就不可能会有太多人失业。	要是当初就好好读书，选择自己的方向，现在就不可能会有太多人失业。
1	我并不希望自已或我的父母亲们帮我选择我的人生，要是没办法，就只有听从，想办法也能够选择自己的方向。	我并不希望自己或我的父母亲们帮我选择我的人生，要是没办法，就只有听从，想办法也能够选择自己的方向。
1	我觉得十分重要！虽然我现在还没有十分却定的。	我觉得十分重要！虽然我现在还没有十分确定的。
1	想当企业大老板！行！但要看你自己，努力，努力，在努力，若没经过努力琢磨，必无法成功。	想当企业大老板！行！但要看你自己，努力，努力，再努力，若没经过努力琢磨，必无法成功。
1	是实上，从小写文章就很想写这个题目了，只是…都一直没有灵感。	事实上，从小写文章就很想写这个题目了，只是…都一直没有灵感。
1	你将会遭遇到许多挫折，要勇往直前，而不是徬惶在路边哭泣、半途而废。	你将会遭遇到许多挫折，要勇往直前，而不是徬徨在路边哭泣、半途而废。
